X,Y,Z,EDA,HR,TEMP,id,datetime,label
-25.0,11.0,-52.0,4.714619,110.62,34.13,15,2020-07-21 13:26:16.093750016,0.0
-65.0,9.0,-2.0,0.18958,76.72,28.67,5C,2020-06-23 20:20:36.812499968,0.0
-64.0,4.0,6.0,0.201108,68.38,28.79,5C,2020-06-23 18:25:28.624999936,0.0
-13.0,-61.0,-3.0,0.225474,87.58,30.41,5C,2020-05-08 22:13:08.937499904,1.0
-16.0,-68.0,24.0,0.329203,82.85,29.05,5C,2020-06-23 19:23:55.031249920,0.0
-22.0,-44.0,127.0,20.591669,86.22,36.53,5C,2020-04-14 22:36:22.812499968,1.0
-22.0,-44.0,127.0,20.363018,83.82,36.55,5C,2020-04-14 22:35:35.687500032,1.0
-24.0,2.0,59.0,0.276684,69.43,28.87,5C,2020-06-23 19:45:27.093750016,0.0
18.0,60.0,11.0,0.316393,73.85,29.25,5C,2020-06-23 18:04:05.843749888,1.0
-24.0,2.0,59.0,0.274122,69.93,28.91,5C,2020-06-23 19:45:32.249999872,0.0
-63.0,-6.0,4.0,0.374036,56.88,28.55,5C,2020-06-23 20:29:33.593750016,0.0
18.0,60.0,9.0,0.276684,69.98,28.83,5C,2020-06-23 20:03:50.437499904,0.0
-22.0,-24.0,54.0,2.9904,74.08,34.87,15,2020-07-22 21:10:00.843749888,2.0
-59.0,25.0,-10.0,0.163981,95.07,31.03,5C,2020-05-08 22:28:07.500000000,1.0
-21.0,6.0,60.0,0.299741,71.22,28.55,5C,2020-06-23 18:29:48.312499968,0.0
-61.0,21.0,-1.0,0.172948,99.8,30.37,5C,2020-05-08 22:14:40.375000064,1.0
-28.0,-56.0,-10.0,4.060327,119.25,34.21,15,2020-07-08 13:44:36.875000064,2.0
-63.0,10.0,6.0,0.320236,69.22,28.41,5C,2020-06-23 20:34:04.000000000,0.0
-22.0,57.0,24.0,0.219068,75.7,30.39,5C,2020-05-08 22:11:46.187500032,1.0
-56.0,32.0,-15.0,0.352302,83.25,30.67,5C,2020-05-08 22:22:43.687500032,1.0
-20.0,-2.0,60.0,0.425274,60.15,28.77,5C,2020-06-23 17:58:59.718749952,1.0
2.0,59.0,25.0,0.336889,91.2,28.85,5C,2020-06-23 20:23:04.750000128,0.0
-58.0,34.0,127.0,5.811732,108.95,36.11,5C,2020-04-14 22:56:43.062500096,1.0
-35.0,4.0,57.0,0.279246,78.13,28.45,5C,2020-06-23 18:37:04.843749888,0.0
-1.0,59.0,26.0,0.372755,60.1,28.81,5C,2020-06-23 17:59:08.468750080,1.0
-66.0,4.0,1.0,0.327922,75.68,28.95,5C,2020-06-23 19:15:23.312499968,0.0
-14.0,-4.0,62.0,0.371474,66.77,28.95,5C,2020-06-23 19:14:14.781250048,0.0
-26.0,3.0,59.0,0.156552,109.17,29.51,5C,2020-06-24 14:30:21.781250048,2.0
-22.0,-44.0,127.0,19.656628,87.2,36.5,5C,2020-04-14 22:33:36.187500032,1.0
-44.0,5.0,45.0,0.272841,70.52,28.51,5C,2020-06-23 18:37:30.656250112,0.0
-31.0,3.0,56.0,0.293336,80.87,28.61,5C,2020-06-23 18:50:11.031249920,0.0
-62.0,-7.0,19.0,3.748925,70.03,31.79,15,2020-07-08 14:10:37.843749888,2.0
-18.0,-17.0,50.0,0.482916,67.0,28.59,5C,2020-06-23 20:50:20.343749888,0.0
2.0,35.0,47.0,2.364405,76.47,33.07,15,2020-07-22 21:27:28.624999936,2.0
-23.0,-55.0,21.0,0.057646,82.37,29.01,5C,2020-06-24 14:56:16.249999872,2.0
-66.0,0.0,-2.0,3.174193,78.75,33.61,15,2020-07-08 13:49:12.187500032,2.0
50.0,-30.0,127.0,17.583815,102.13,36.27,5C,2020-04-14 22:45:19.968750080,1.0
-61.0,5.0,21.0,0.353541,75.07,28.57,5C,2020-06-23 20:47:01.968750080,0.0
